sensor_id,unit,record_count,valid_value_count,mean,std,min,max,lower_3sigma,upper_3sigma
92,mg,11315162,11315162,381.81489960179084,484.7912615725666,22.035,11708.075,-1072.558885115909,1836.1886843194907
109,mg,11216992,11216992,190.7297370354727,192.95378456594094,21.986,5225.502,-388.1316166623501,769.5910907332955
47,mg,11212961,11212961,259.50354844862125,299.3885307703624,22.013,9524.339,-638.662043862466,1157.6691407597086
68,mg,11178187,11178187,317.2841127288351,551.6346884520557,21.988,11541.435,-1337.6199526273317,1972.1881780850022
46,mg,10838777,10838777,327.23061340177026,457.67166183492634,22.032,15383.246,-1045.7843721030085,1700.2455989065493
64,mg,10805721,10805721,388.8578468628794,524.2292498070615,22.043,15711.832,-1183.829902558305,1961.5455962840638
101,mg,10746917,10746917,317.52596357225036,496.1793018500914,22.023,9416.257,-1171.011941978024,1806.0638691225245
84,mg,10712815,10712815,294.14328096079333,393.39316442405345,22.009,17730.064,-886.0362123113671,1474.3227742329539
49,mg,6908852,6908852,342.5739912270521,499.52202792340654,20.226,33228.898,-1155.9920925431675,1841.1400749972718
95,mg,6908802,6908802,238.49076609765345,458.1039632929458,19.999,33870.703,-1135.821123781184,1612.802655976491
70,mg,6908722,6908722,203.06753684111183,412.9382504591672,20.266,35373.242,-1035.7472145363897,1441.8822882186134
120,mg,2793611,2793611,28.818226184676387,24.97337780344966,2.71,191.495,-46.10190722567259,103.73835959502537
137,mg,2785393,2785393,28.18916289047901,24.735672402560752,2.538,193.062,-46.017854317203245,102.39618009816127
146,mg,2777108,2777108,32.43899038244103,30.37157893423615,2.513,205.609,-58.67574642026742,123.55372718514948
19,mg,2769974,2769974,30.621004411232725,27.513682070333914,2.584,200.506,-51.92004179976902,113.16205062223446
32,mg,2698276,2698276,358.86150690737355,537.7123954082383,22.045,35006.449,-1254.2756793173414,1971.9986931320884
44,mg,2693093,2693093,363.83192761297147,603.4770495358375,22.005,33289.934,-1446.5992209945412,2174.263076220484
62,mg,2668928,2668928,421.0480951524357,609.7020851586623,22.046,32387.404,-1408.0581603235512,2250.1543506284224
141,mg,2662673,2662673,40.74301286752071,38.87169074899344,2.511,252.684,-75.87205937945959,157.35808511450102
147,mg,2654412,2654412,38.443363079657566,35.92347203762133,2.568,242.195,-69.32705303320643,146.21377919252154
113,mg,2646377,2646377,37.31593772958276,34.967071989625296,2.638,254.062,-67.58527823929313,142.21715369845865
130,mg,2639626,2639626,38.14628877007576,35.38254400632996,2.596,263.207,-68.00134324891411,144.29392078906562
21,mg,2152817,2152817,68.76826720338977,77.88753687655822,2.656,563.546,-164.89434342628488,302.4308778330644
110,mg,2146381,2146381,55.991517368538034,70.72964134924183,2.499,536.019,-156.19740667918745,268.18044141626353
128,mg,2140327,2140327,55.895565458455636,66.85482989898247,2.561,487.128,-144.6689242384918,256.46005515540304
285,m�/h std.,1434809,1434809,42.01795256372101,16.8845439008813,7.6,164.3,-8.635679138922896,92.67158426636492
335,l/min,1374156,1374156,9.955130218112071,0.24242895776266427,0.0,16.07,9.227843344824079,10.682417091400064
330,l/min,1349733,1349733,13.140423713430732,0.17721366875009367,0.0,17.09,12.60878270718045,13.672064719681012
349,l/min,1331831,1331831,15.395754093424765,1.4706517164250064,0.05,327.6,10.983798944149747,19.807709242699783
340,l/min,1330472,1330472,15.905338744445578,0.6155113406625,0.0,327.6,14.058804722458078,17.751872766433078
355,l/min,1329289,1329289,15.516208333928889,1.6509885429672195,0.02,327.6,10.56324270502723,20.469173962830546
279,l/min,1186242,1186242,71.39519195914491,3.102980658244247,0.0,87.0,62.08624998441217,80.70413393387766
291,l/min,1182914,1182914,71.23826271394199,3.0900496300389015,0.0,80.5,61.96811382382529,80.5084116040587
322,bar,1122977,1122977,5.061016307546814,0.4082767347442946,2.85,6.73,3.8361861033139304,6.285846511779698
303,bar,1079732,1079732,4.639335501772664,0.4082124520173915,2.7,7.12,3.41469814572049,5.863972857824839
345,l/min,1074320,1074320,7.052934795963958,1.638776377724939,0.4,15.95,2.136605662789142,11.969263929138775
318,bar,1042584,1042584,5.038199665446619,0.4089737026660185,2.95,6.8,3.8112785574485635,6.265120773444675
310,bar,1037521,1037521,5.30183873868577,0.4079078290860522,3.71,6.98,4.078115251427613,6.525562225943927
301,bar,1036875,1036875,4.955271754068715,0.4161165572575396,3.36,7.17,3.7069220822960958,6.203621425841334
326,bar,1002789,1002789,5.397588834739911,0.4205859110351322,3.81,7.71,4.135831101634514,6.659346567845308
640,mg,959431,959431,302.6040760523686,188.67461476961165,70.515,1113.247,-263.4197682564663,868.6279203612035
641,mg,949233,949233,0.6529810151985862,0.04839238203248236,0.518,1.887,0.5078038691011391,0.7981581612960333
124,mg,907872,907872,45.03798149629022,53.315127744763124,2.612,397.378,-114.90740173799915,204.9833647305796
76,mg,905768,905768,55.45757617955149,111.12225096016387,2.753,1337.039,-277.9091767009401,388.8243290600431
105,mg,903270,903270,46.625320517674666,67.00315342116639,2.605,884.898,-154.38413974582448,247.63478078117384
278,l,894404,894404,77233497.02085415,3897528.695670371,70484430.0,83830380.0,65540910.93384303,88926083.10786526
290,l,894343,894343,77236183.90642066,3897289.248965125,70486210.0,83832540.0,65544316.15952529,88928051.65331604
284,m� std.,798344,798344,793491.7472768633,38411.85366340623,727808.0,859661.8,678256.1862866447,908727.308267082
280,°C,594886,594886,21.309239249200687,1.881857086675625,14.5,30.8,15.663667989173812,26.954810509227563
638,mg,574775,574775,14.681715253794964,4.23684195418086,9.806,429.059,1.971189391252386,27.392241116337544
117,mg,539344,539344,67.21131163784153,63.00359898800535,2.696,336.811,-121.7994853261745,256.2221086018576
100,mm/s,539009,539009,2.5510596854597973,2.2759880979308598,0.027,15.566,-4.2769046083327815,9.379023979252377
75,mg,512781,512781,1730.975260364561,1265.704784706229,34.274,5564.503,-2066.139093754126,5528.089614483248
56,mg,483539,483539,6.192540959467591,22.493667985809516,0.062,1487.112,-61.28846299796096,73.67354491689615
299,bar,455308,455308,2.2782147030142235,0.3973329601927439,0.77,3.77,1.086215822435992,3.470213583592455
35,mm/s,432184,432184,0.22468111498806062,0.9421236265678283,0.002,127.546,-2.6016897647154242,3.0510519946915458
313,bar,390398,390398,4.625754025379228,1.1532566312640335,0.1,6.75,1.1659841315871278,8.08552391917133
87,mg,267005,267005,507.58273178030413,1461.149517642353,14.702,23739.307,-3875.8658211467546,4891.031284707363
127,mg,219912,219912,635.7931169558731,916.7702348209152,61.061,11994.915,-2114.5175875068726,3386.103821418619
114,mg,219848,219848,774.5798915205052,1380.6741123700133,63.647,14344.92,-3367.442445589535,4916.602228630545
96,mg,219738,219738,936.5975877317534,2002.8789455892259,70.88,21835.922,-5072.0392490359245,6945.234424499431
74,mg,219516,219516,806.6462047732282,1915.0213132057224,46.533,23594.514,-4938.417734843939,6551.710144390396
60,mg,189505,189505,62.56596129389726,57.105314120898,2.891,341.835,-108.74998106879673,233.88190365659125
48,mm/s,189387,189387,2.6412059803471206,2.8094942120750197,0.034,22.743,-5.787276655877939,11.06968861657218
79,mg,184776,184776,1977.2054560657227,2004.7392414012377,26.901,11386.5,-4037.0122681379908,7991.423180269436
88,mg,184718,184718,1424.4683410117048,798.3219450400969,41.543,4410.887,-970.4974941085859,3819.4341761319956
115,mg,182534,182534,66.72725291726474,59.95501814689764,2.767,258.255,-113.13780152342818,246.59230735795765
102,mm/s,182514,182514,3.5813976790821522,4.840312566584062,0.03,21.242,-10.939540020670034,18.10233537883434
112,mg,154666,154666,10.555375137392833,7.60075466346678,3.251,105.92,-12.246888853007508,33.35763912779318
121,mm/s,154637,154637,2.2759759113278206,2.0980183940370094,0.06,14.714,-4.018079270783208,8.57003109343885
54,mg,150573,150573,30.03558440092181,26.304405046914972,2.85,173.835,-48.877630739823104,108.94879954166672
119,mg,150547,150547,40.772344942111104,42.596041376257766,2.777,779.984,-87.01577918666219,168.56046907088438
107,mm/s,150461,150461,2.029452230146019,2.2370870385112624,0.032,90.814,-4.681808885387769,8.740713345679806
33,mm/s,150390,150390,1.0884344969745323,1.138894331842889,0.036,13.71,-2.328248498554135,4.505117492503199
67,mg,149699,149699,1061.2071901682714,1163.8392507588892,39.126,3929.67,-2430.310562108396,4552.724942444939
78,mg,149622,149622,1389.4554973867484,1482.5531285593536,43.992,5682.359,-3058.2038882913125,5837.114883064809
85,mg,148097,148097,850.2007958635222,1051.8970942757462,26.872,5567.537,-2305.4904869637166,4005.892078690761
93,mg,146829,146829,831.078990826063,1012.0898710636034,26.878,10758.601,-2205.190622364747,3867.348604016873
656,mg,146130,146130,23.05020091699172,9.55537144084975,9.441,153.289,-5.6159134055575315,51.716315239540975
652,mg,146127,146127,27.424506340375157,6.043243790592329,12.559,110.092,9.294774968598169,45.554237712152144
648,mg,146127,146127,27.73444157479453,6.183871703042939,12.892,119.323,9.182826465665713,46.28605668392335
658,mg,146121,146121,22.9375394980872,9.71361981998409,9.028,152.916,-6.203319961865073,52.07839895803947
55,mg,141980,141980,125.52368866741796,118.52144802490658,34.305,1558.45,-230.04065540730176,481.08803274213767
356,°C,140040,140040,20.459011710939738,1.7011780937769563,15.0,33.0,15.355477429608868,25.562545992270607
18,mg,137528,137528,100.54227184282477,129.2847458549004,26.912,5702.957,-287.3119657218764,488.39650940752597
111,mg,137442,137442,85.05424955981435,106.808920686533,26.945,3270.161,-235.37251249978465,405.4810116194134
135,mg,137391,137391,92.18618368015375,119.27339543268907,26.878,3726.288,-265.63400261791344,450.00636997822096
99,mg,137332,137332,84.58290447237351,103.36566660645222,26.904,2868.954,-225.51409534698314,394.67990429173017
122,mg,135959,135959,85.93281391448892,108.84133629845972,24.46,2436.171,-240.59119498089024,412.4568228098681
116,Nl/min,127075,127075,707.7272610662993,215.13508929474173,109.6,1474.0,62.32199318207415,1353.1325289505244
