path,size_bytes,separator,status,rows,error
SCADA/2019_03/Export_2019-03-08 02-04-26.389_[2019-03-07 00-00-00.000]_[2019-03-08 00-00-00.000].csv,66621417,;,processed,1717553,
SCADA/2019_03/Export_2019-03-09 02-04-26.817_[2019-03-08 00-00-00.000]_[2019-03-09 00-00-00.000].csv,66338620,;,processed,1707120,
SCADA/2019_03/Export_2019-03-10 02-04-27.229_[2019-03-09 00-00-00.000]_[2019-03-10 00-00-00.000].csv,22323437,;,processed,576876,
SCADA/2019_03/Export_2019-03-11 02-04-27.719_[2019-03-10 00-00-00.000]_[2019-03-11 00-00-00.000].csv,25,;,header_only,0,
SCADA/2019_03/Export_2019-03-13 02-04-28.637_[2019-03-12 00-00-00.000]_[2019-03-13 00-00-00.000].csv,94101408,;,processed,2433043,
SCADA/2019_03/Export_2019-03-14 02-04-29.158_[2019-03-13 00-00-00.000]_[2019-03-14 00-00-00.000].csv,61571586,;,processed,1585011,
SCADA/2019_03/Export_2019-03-15 02-04-29.586_[2019-03-14 00-00-00.000]_[2019-03-15 00-00-00.000].csv,68832725,;,processed,1771001,
SCADA/2019_03/Export_2019-03-15 18-08-39.956_[2019-03-14 00-00-00.000]_[2019-03-15 00-00-00.000].csv,68832725,;,processed,1771001,
SCADA/2019_03/Export_2019-03-16 02-08-40.083_[2019-03-15 00-00-00.000]_[2019-03-16 00-00-00.000].csv,66513572,;,processed,1709630,
SCADA/2019_03/Export_2019-03-17 02-08-41.058_[2019-03-16 00-00-00.000]_[2019-03-17 00-00-00.000].csv,2270554,;,processed,58269,
SCADA/2019_03/Export_2019-03-18 02-08-42.267_[2019-03-17 00-00-00.000]_[2019-03-18 00-00-00.000].csv,25,;,header_only,0,
SCADA/2019_03/Export_2019-03-19 02-08-43.226_[2019-03-18 00-00-00.000]_[2019-03-19 00-00-00.000].csv,67343430,;,processed,1732349,
SCADA/2019_03/Export_2019-03-20 02-08-44.061_[2019-03-19 00-00-00.000]_[2019-03-20 00-00-00.000].csv,55146326,;,processed,1417426,
SCADA/2019_03/Export_2019-03-21 02-08-45.192_[2019-03-20 00-00-00.000]_[2019-03-21 00-00-00.000].csv,54311938,;,processed,1394846,
SCADA/2019_03/Export_2019-03-22 02-08-46.010_[2019-03-21 00-00-00.000]_[2019-03-22 00-00-00.000].csv,54128244,;,processed,1391079,
SCADA/2019_03/Export_2019-03-23 02-08-46.859_[2019-03-22 00-00-00.000]_[2019-03-23 00-00-00.000].csv,53689920,;,processed,1379736,
SCADA/2019_03/Export_2019-03-24 02-08-47.819_[2019-03-23 00-00-00.000]_[2019-03-24 00-00-00.000].csv,718292,;,processed,18513,
SCADA/2019_03/Export_2019-03-25 02-08-48.778_[2019-03-24 00-00-00.000]_[2019-03-25 00-00-00.000].csv,1047092,;,processed,26878,
