sensor_id,interval_count,median_interval_sec_approx,mean_interval_sec,min_interval_sec,max_interval_sec
109,11216891,0.6569998264312744,1.3990812309756762,0.012999773025512695,260211.3900001049
47,11212862,0.6569998264312744,1.3995838895547057,0.012999773025512695,260211.3900001049
68,11178088,0.6569998264312744,1.4039379246253905,0.012999773025512695,260211.3900001049
92,11315066,0.6569998264312744,1.3869421237136383,0.012999773025512695,260211.3900001049
46,10838633,0.6569998264312744,1.447903824956543,0.016000032424926758,260241.40600013733
64,10805574,0.6569998264312744,1.4523335991221022,0.016000032424926758,260241.40600013733
84,10712670,0.6569998264312744,1.4649286798716272,0.016000032424926758,260241.40600013733
101,10746773,0.6569998264312744,1.4602800466707737,0.016000032424926758,260241.40600013733
49,6908847,0.6569998264312744,1.424179001213941,0.016000032424926758,260241.4099998474
95,6908796,0.6569998264312744,1.4241894211379058,0.016000032424926758,260241.4099998474
