sensor_id,window_start,sample_count,mean,std,min_value,max_value,rms,peak_to_peak,slope,sigma_anomaly,sigma_detected_features,isolation_decision,risk_score,status
84,2019-07-10 10:22:00,60,498.1128,1705.470824752457,26.9,13435.72,1776.7236970349854,13408.82,32.11716483202049,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.2808037631600264,99.98801964777765,WARNING
84,2019-07-24 20:21:00,47,484.3180638297873,1440.3873295553792,29.346,10056.004,1519.631417842995,10026.658000000001,43.55825894012475,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.28062768930199633,99.98801964777765,WARNING
84,2019-07-27 11:40:00,42,500.7505238095238,1483.9769320179769,26.9,9845.688,1566.186011256964,9818.788,50.33742110281071,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.2815084558237252,99.98801964777765,WARNING
84,2019-07-29 07:02:00,92,499.8974456521739,1173.779202509535,41.573,11354.577,1275.7958584403261,11313.003999999999,-12.829688193607005,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.28014162554641586,99.98801964777765,WARNING
84,2019-07-29 12:47:00,45,637.6846444444444,1687.4351820714332,29.346,10633.148,1803.9066493177213,10603.802,31.448142300410122,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.2808037631600264,99.98801964777765,WARNING
84,2019-06-27 22:18:00,43,479.152465116279,1464.7968866834422,29.346,9816.342,1541.1739045495522,9786.996000000001,48.520377525547005,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.2775885463518952,99.98003274629608,WARNING
84,2019-07-02 17:37:00,59,466.14208474576276,1456.0976472396312,29.346,10792.106,1528.8913635271524,10762.76,32.968642228908685,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.2781106773220696,99.98003274629608,WARNING
84,2019-07-03 14:04:00,56,519.3249107142856,1340.4275564688878,34.238,10195.399,1437.5132684707833,10161.161,-15.171909175096037,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.2768016885614406,99.98003274629608,WARNING
84,2019-07-17 11:02:00,89,501.5252022471912,1316.18811126722,34.237,11063.561,1408.5022799875967,11029.324,-13.673244240765719,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.2768016885614406,99.98003274629608,WARNING
84,2019-07-22 21:01:00,51,475.1993137254902,1441.3246086083518,31.791,10488.862,1517.6399491134898,10457.071,36.51018376303662,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.2788170959814231,99.98003274629608,WARNING
84,2019-07-24 13:38:00,88,507.27994318181806,1510.282049114957,34.238,13966.399,1593.199550788733,13932.161,-16.704697422633217,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.2773274397914337,99.98003274629608,WARNING
84,2019-07-26 11:35:00,42,487.0672380952381,1429.637685047589,26.9,9461.741,1510.330561477835,9434.841,55.13297701992532,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.2785178974553165,99.98003274629608,WARNING
84,2019-07-26 19:32:00,52,514.6890961538463,1763.56317059935,26.9,12946.614,1837.1336158249612,12919.714,28.17100580502721,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.27909635433854485,99.98003274629608,WARNING
84,2019-07-30 13:55:00,90,465.0846888888888,1234.7298158944973,46.464,11518.429,1319.4171008811932,11471.965,-10.949827489674037,True,"[""std"", ""min_value"", ""max_value"", ""rms"", ""peak_to_peak""]",-0.2772077167042426,99.98003274629608,WARNING
84,2019-07-03 10:38:00,58,462.20444827586215,1511.3231503430018,29.346,11662.714,1580.421025160286,11633.368,33.186720669879826,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.27637593207546485,99.97603929555528,WARNING
84,2019-07-29 10:34:00,37,697.5697027027029,1873.5169734565748,31.791,11271.431,1999.1671615846985,11239.640000000001,-51.03269418681893,True,"[""mean"", ""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.2762762929272258,99.9720458448145,WARNING
84,2019-07-16 15:56:00,84,592.0210238095236,1403.1289406231144,26.901,11012.204,1522.9115918682276,10985.303,-21.290808592233446,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.2753111311010268,99.96805239407371,WARNING
84,2019-07-25 18:38:00,69,524.3350579710146,1499.485214985346,26.9,12364.581,1588.5160254077125,12337.681,25.083224754391164,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.2750655188664314,99.96805239407371,WARNING
84,2019-07-13 12:51:00,60,527.33695,1512.3840222247613,26.9,11860.803,1601.683392408141,11833.903,24.01588585404146,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.2748907390016666,99.96405894333293,WARNING
84,2019-07-01 17:27:00,45,459.3242222222222,1373.6976341084167,29.347,9368.812,1448.4557055965195,9339.465,49.871988962230006,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.27410302920175045,99.96006549259215,WARNING
84,2019-07-03 11:11:00,77,509.399961038961,991.7607244763636,44.019,8605.807,1114.9339240153995,8561.788,-13.787647717997281,True,"[""std"", ""min_value"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.2733098833815685,99.96006549259215,WARNING
84,2019-07-08 17:50:00,65,505.6594923076923,1400.303874635976,29.346,11264.093,1488.805717171116,11234.747000000001,23.3968437525056,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.27329420164169205,99.96006549259215,WARNING
84,2019-07-10 20:00:00,84,512.6579285714284,1516.6945946099504,31.791,13560.442,1600.9936430374078,13528.651,-16.12871351561082,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.27452753925143103,99.96006549259215,WARNING
84,2019-07-16 09:51:00,87,485.98494252873564,1315.7363907937536,26.9,10674.721,1402.6202673652026,10647.821,-22.45998877248408,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.27269273801434546,99.96006549259215,WARNING
84,2019-07-24 12:25:00,88,495.3580227272725,1655.0158279694374,31.791,15656.258,1727.5580920795787,15624.467,-15.841315133143516,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.27313137317610636,99.96006549259215,WARNING
84,2019-07-24 17:34:00,87,473.5045287356321,1521.64701402178,34.237,14250.081,1593.6173235800845,14215.844000000001,-14.8327301050645,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.2734801785737413,99.96006549259215,WARNING
84,2019-07-24 19:20:00,65,497.38230769230773,1593.3581514573448,26.9,13064.0,1669.185238019104,13037.1,23.57320203497405,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.2731451066275816,99.96006549259215,WARNING
84,2019-07-24 20:49:00,56,526.4866964285715,1498.8439624632965,26.9,11403.488,1588.6225056094813,11376.588,22.200021949754696,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.2722996031858743,99.96006549259215,WARNING
84,2019-07-25 12:47:00,88,493.495909090909,1488.0223574036313,26.9,12929.496,1567.7208770768236,12902.596,-24.18261308849695,True,"[""std"", ""max_value"", ""rms"", ""peak_to_peak"", ""slope""]",-0.2744373490157418,99.96006549259215,WARNING
92,2019-06-26 23:01:00,50,469.88986000000017,883.5493269343144,31.828,5410.884,1000.7276820678541,5379.056,-19.32233969478038,True,"[""slope""]",-0.18558480097941465,99.97714721005522,WARNING
92,2019-07-11 00:52:00,33,738.8122727272729,764.6311671484523,71.002,2370.016,1063.2518027763895,2299.014,48.03049327148339,True,"[""min_value"", ""slope""]",-0.18304140737933872,99.97714721005522,WARNING
92,2019-07-12 10:18:00,89,486.97678651685396,830.9555498540365,26.932,6715.862,963.137329999988,6688.93,6.167653195192117,True,"[""max_value"", ""peak_to_peak""]",-0.1733867895787271,99.96952961340698,WARNING
92,2019-07-06 07:27:00,30,103.48399999999997,136.22972802267986,26.931,477.431,171.07740076682643,450.5,-13.61352894094619,False,[],-0.16100907948476317,99.95810321843457,WARNING
92,2019-07-02 17:34:00,30,773.5197333333334,707.5719344953292,90.59,3158.389,1048.3276302480697,3067.799,14.600604871414742,True,"[""min_value""]",-0.15755886029593702,99.95429442011046,WARNING
92,2019-07-26 04:48:00,32,702.1448124999998,723.5300798544694,68.555,3283.256,1008.2177910426273,3214.701,13.093256540945813,True,"[""min_value""]",-0.15666279386358928,99.95429442011046,WARNING
92,2019-07-16 20:34:00,32,110.55896874999996,100.84313141133002,34.277,494.57,149.64164769176477,460.293,-4.143217863541033,False,[],-0.15387694101823413,99.95048562178633,WARNING
92,2019-06-27 13:51:00,31,112.07151612903226,85.6301415958984,36.725,470.086,141.04093688427324,433.361,-1.8758590967599442,False,[],-0.15192794039637414,99.9466768234622,WARNING
92,2019-06-25 20:22:00,37,653.316108108108,683.5114415701756,71.003,3143.699,945.5209293669097,3072.696,21.466532944970222,True,"[""min_value"", ""slope""]",-0.14521818334440395,99.92382403351743,WARNING
92,2019-06-27 11:06:00,31,225.48641935483872,220.31275361305364,36.725,785.925,315.24884570452,749.1999999999999,12.781455843508377,False,[],-0.14563980686974165,99.92382403351743,WARNING
92,2019-06-29 08:12:00,36,112.48858333333332,96.05121215134695,26.932,509.26,147.91726314424338,482.328,-5.974541884483105,False,[],-0.1430207426540836,99.91620643686917,WARNING
92,2019-07-18 07:48:00,32,287.75915625,232.27472023461644,44.07,915.688,369.8065408639783,871.6179999999999,13.797673555971695,False,[],-0.1423743639027858,99.90858884022092,WARNING
92,2019-07-25 17:07:00,92,543.8295217391301,679.4725269735288,36.725,5582.27,870.3065342893871,5545.545,-13.3157930900116,False,[],-0.13948072394624977,99.90097124357266,WARNING
92,2019-06-28 02:42:00,40,112.93055,159.8364692520061,26.931,763.89,195.70642816793213,736.959,-8.635018732680457,False,[],-0.13832579149823865,99.88954484860027,WARNING
92,2019-06-27 22:42:00,43,127.08683720930233,148.03328316136083,26.932,736.957,195.1023247308841,710.025,-7.242586895846427,False,[],-0.1350113887537887,99.881927251952,WARNING
92,2019-07-15 16:35:00,37,172.70881081081077,184.09001164483809,31.829,1011.174,252.42318776031863,979.345,-10.141689234921934,False,[],-0.13293417886087333,99.87050085697963,WARNING
92,2019-06-27 19:38:00,90,509.5860555555557,730.4624715753309,29.38,6179.669,890.6477251958883,6150.289,-6.325039128014239,True,"[""max_value"", ""peak_to_peak""]",-0.1325121877242309,99.86669205865549,WARNING
92,2019-07-10 07:42:00,31,197.3696774193549,185.50496710598534,24.484,639.023,270.86321711449284,614.539,-11.644931805373048,False,[],-0.13217154755691518,99.86288326033137,WARNING
92,2019-06-26 21:41:00,31,63.420322580645184,79.70163492652115,26.931,401.531,101.8552302348463,374.6,-4.067861013592612,False,[],-0.1305172537911159,99.85526566368311,WARNING
