sensor_id,category,window_count,window_rate
109,both,456,0.01737010513484687
109,sigma_only,583,0.02220783178424501
109,isolation_only,1097,0.04178729239676977
109,neither,24116,0.9186347706841383
84,both,3018,0.12051753054867823
84,sigma_only,775,0.03094800734765594
84,isolation_only,42,0.0016771823336794187
84,neither,21207,0.8468572797699864
92,both,42,0.0015996952961340697
92,sigma_only,260,0.009902875642734716
92,isolation_only,1197,0.045591315939820985
92,neither,24756,0.9429061131213102
